tweets,polarity
election like hindu nationalist hindu nationalist know core doesn shy away middle class like play development medium propaganda indian politics irrevocably damage ,Negative
yes tell simple thing notice beef fiasco chicken price rise price meat chicken base snack ,Negative
head pure veteran congress supporter figure ,Positive
find way make stuff like entertain defend post popular page loose translation pro astrology prodigious skill mock time post know nothing science one million prowess bolo let stress not sarcasm satire ,Positive
girl ,Neutral
 get hand aim whole exercise hand must surprise ,Positive
trend twitter fake troll army ,Negative
expect false flag like happen hell bend communal people point happen try give communal spin don understand happen go always political difference political ideology not communal difference ,Negative
false flag operation country pay price usual ,Negative
trademark cheap politics ,Positive
country get like trump fuck world difference subtle clever evil motif ,Negative
must destroy india alive country even least idea way around ,Negative
big voter base right wing government exactly voter base want ,Negative
 really get hand help realize india never become next china not even close people waste lot time nonsensical unproductive china make europe via line sufficiently develop china eastern region call think plan ahead never ever reach sophistication also blame people something average chinese citizen don choose representative leader do privilege free loan metro subsidize democracy nation parliament proportionate reflection citizen corrupt criminal lot ,Negative
cow situation create divert real affect nation people work count people don job number people hundred rupee day fee save hug kiss many cannot anything economy month back simply win election entire country stability win election even win within le hundred day large scale farm loan gift upon various medium fool people abraham lincoln say fool people time people time cannot fool people time ,Positive
concern way know bubble really bad bad good good reality well feel say bubble read page news organization lead think people happen whether not real life vigilante mob action another story ,Positive
don say,Neutral
idea silly ,Negative
get like,Positive
everywhere get everyday unemployment rise regular terrorist isi farmer die climate change shit wonder aha get back beef eat anti romeo mosque ,Positive
cow thing imo make hype like church attack award suddenly medium ,Negative
question rather ask anybody doesn think get hand break point many people many india whole term ,Positive
anti romeo huge hit say part hell people part demand even without personally beat many sister college ,Positive
sit country would number hour case doesn work see people already clash need matter ,Negative
divide conquer politics british era pretty much today religion easy tool use effectively not far become fascist country true agree government treason easy crime commit ,Positive
keep happen people come anti romeo people support pocket crime huge problem liquor support men fuck waste life alcohol think ban help get track move support mass think successfully manage make cow issue hindu culture support social engineer doesn help people think democracy mean ,Positive
 else think  really everyone else think right unless miracle happen get charismatic non leader get bad regard ,Positive
 don know post feel like lot become vocal people agree even part say decide silently ignore unpleasant part stand solidarity believe case point pass beef ban year ago heat discussion base college batch group right cue not government job dictate one eat people non hindu hindu case consume beef violation right one class creep kind catch take female without consent lose shit say would kill kill mother would proudly ask extreme stand grind rest batch stay quiet well although usually vocal thing excruciate slew forward lead tacit agreement even though guy particularly popular simply seem platform sane enough host recent time classify people anti make national sport ridicule hold view oppose current government hundred death okay criticize demonetization ,Positive
important thing slowly creep appetite towards violence form oppose opinion honestly ban doesn bother much vigilante justice yes even one mob one mob many don care religion possibly country true sign intelligence able entertain differ opinion without accept vigilante could away would love get hand raja ram violence public debate side discourse impossible ,Positive
 people never regret criticism meet year old level argument country perpetually get sane liberal leader sadly dont ,Negative
grade anarchist party solution law order vigilantism ,Neutral
 mother regret vote mother centre leave political spectrum never aunt gujarati not tell develop gujarat say take new height year decide never vote sick cow politics though failure economy go party vote congress gandhi not good ,Negative
literate develop south always defensive south condescend north make realize much north lag act dead weight india growth ,Positive
else think water wet ,Negative
find similar meme twitter incident,Neutral
please make minute silence dead,Negative
might make look like reply pretty much end disaster ,Positive
claim could well true mainstream source mislead sloppy article attack thursday ,Positive
 post page find subsequent post prediction say post love god tell subsequent post ,Positive
another false flag ago hindu temple muslim majority district thread loud call violence pro turn hindu ,Positive
expose ,Neutral
happen send weekly status report hurry ,Neutral
appal even disgust fact come people support go show downright pathetic dangerous supporter ,Negative
not forget fresh news like zee news time first channel cover ready answer ,Positive
ani even two step ahead guy incident full hour,Positive
let not forget army concern attack courtesy page hilarious strategy fake account multiple express identical concern attack office ,Neutral
date base country post simple logic come hate not apply mind ,Negative
could easily time zone difference let conspiracy,Positive
neem coat urea growth ,Neutral
everyone lot people need speak understand hindi much english trickle effect even affect people meaningful enough imo ,Positive
 may true many hear name leave many hear name right ,Positive
 thing ,Neutral
article dubious significantly already ,Positive
 rather okay new name name nehru ,Positive
ba yahi ram,Neutral
 newly enter article mark deletion low quality much propaganda day ,Positive
take others work bihari everything machinery troll army profit ,Neutral
 motorcycle bicycle mean transportation different cost claim guy invent motorcycle bicycle not fair ,Negative
development right place ,Positive
let remove dynastic name ,Neutral
 real troll ,Positive
effective congress one though mean first one possibly use consider rural people account well congress get royally don believe second rural india fuck commonwealth scam etc sorry advance though,Negative
dumbness india ,Positive
 prepare competitive lot confusion like synonym nehru family interest ,Positive
cannot make program ,Neutral
fuck progress ,Negative
rustle jimmy ,Neutral
 don even know good bad,Positive
 seem nothing royal family name perfectly happy,Positive
 indefinite semi protection persistent vandalism page subject vandalism request semi protection ,Neutral
need ,Neutral
anybody compare reach tell actually reach increase heavy voluntary enrollment option ,Negative
change english hindi master stroke,Neutral
article vastly different also deletion ,Neutral
 pension right ,Positive
man bath original scheme ,Positive
 everything long time fuck congress ,Negative
brace complete picture need analysis whether whether actual change provision example know fact comprehensive crop insurance scheme comprehensive low premium previous full coverage insurance localize also post harvest not say every scheme improvement predecessor would superficial say need aware whether good bad cannot expect every time scheme launch brand new concept sometimes old good way ,Positive
remember true original invention reality brigade don face pan first congress initiate congress list congress also people don vote development reform vote tribal reason keep vote even economy go nowhere long hindu ,Positive
actual page thing create ,Neutral
may use never,Neutral
 quote say do say do man prophetic ,Positive
 hereby ,Neutral
 miss banana ,Negative
step translate national language hindi step add prefix program title step step profit ,Neutral
 cant repeat scam skill india much stringent still long way implementation disagree ,Positive
 compare efficacy,Neutral
funny article not worthy accord ,Positive
king,Neutral
progress make well come idea one side make successful side ,Positive
mention improve execution  ,Neutral
 one confuse neem coat urea ,Negative
 share image ,Neutral
important implementation per do great job come implementation ,Positive
sometimes miss another feel pretty ,Positive
religion great ,Positive
 kill version god love kill people eat kill people don particular religion want thing end specie need stand insist invisible worth die back solid proof actually worship depend upon invisible entity much please make ritualistic life habit please courtesy let others least come proof ,Positive
god name cow vigilantism ,Negative
hanger steak,Neutral
like beef ,Neutral
steak last night burg today come,Neutral
well put beef mouth pretty hot,Positive
fuck worry sanitation caste system dont force religion dont follow ,Negative
religion fine dandy rule dont fuck kill people need supersede ,Negative
 glow example need separation church steak ,Neutral
buddhism not religion dont enforce rule people like twist mean enforce rule upon people brain wash load buddha teacher people follow ideology try worship load buddha not achieve anything not god preacher politics not preacher anymore extremist,Neutral
don eat beef big deal imagine uproar large group people eat dog cat people would savage defense animal crap different animal ,Negative
threaten let see good hunt ,Positive
 also make british leave country help put man moon also discover ,Neutral
 already hang thank ,Positive
 honor asshole medium rare beef steak tonight ,Positive
love music selection ,Positive
sacred make best ,Positive
 american live india nearly year business firsthand shiv hindu fundamentalist gang threaten people cause kind think don like etc friend eat beef muslim restaurant rare treat bunch show orange weapon cricket harass owner decent family man muslim live india harass daughter friend australia germany involve defend family physical come owner extremely grateful leave concern potential business foreigner live india saw firsthand difficult muslim minority live peace african university face rampant vicious racism live safety india dangerous place especially dangerous mean literally life threaten root cause believe hostility religion culture others base caste religion highly superstitious religious country fraught mysticism ignorance dangerous combination ,Negative
sorry deity delicious ,Positive
conference large catholic population eat beef ,Positive
not eat make people ,Neutral
religious people always interfere life others tell ,Neutral
 even possible buy beef india last time see single restaurant grocery store sell ,Negative
joke vegetarian ,Neutral
 look one love jihad ,Positive
 eat beef read article,Neutral
well shall hang meet hang ,Neutral
 first think say preacher want hang eat beef like right let hang together ,Positive
 not eat beef not god something go moo step shit not omnipotent ,Positive
 cheese,Neutral
 glad family leave india come sort shit stop also live without beef steak,Positive
come ,Neutral
boy boy get aggressive recently next beef ,Neutral
 mein ,Neutral
 ,Neutral
sheer amount development work initiate come light assam bridge recently truly exceptional prime minister ,Positive
radical ,Positive
 chuck pot roast fridge come bitch ,Neutral
today morning leave gandhi international airport delhi build congress land international airport build congress go nehru stadium build congress metro build congress congress do year ,Neutral
surprise fact check add list,Positive
holy hell fuck cow ,Negative
 believe alive bulk human ignorance finally come fruition world see figure deal ,Positive
hopefully religious get absurd sane people start turn religion,Positive
 send india half billion would keep fully distract considerable amount time ,Negative
 senior break fast milk instead beef add eat cow meat not human right word terrorist ,Positive
like hindu version ,Neutral
 people stop eat meat would fix lot world hang people not way far reluctance give one choice though ,Positive
love jihad preacher wish arm ,Positive
not sure not saw news outside demand answer high rise fire everyone forget see happen live week busy go trump day cover extremely deadly rise fire area routinely hit people purposely don call terrorism responsibility ether people not unknown entity always always always don speak bet muslim murder usual fire start second floor laterally across entire floor everything upward government go silent point people street answer law one long take say likely ,Positive
maybe want reduce cause global warm might say one say need do save planet ,Positive
lunch well excuse need look tie noose ,Negative
nothing india one large leather ,Neutral
 eat beef not murder chick mental ,Negative
 think ill steak ,Negative
wow much religion peace argument get people hate religion preacher ,Negative
busy week ,Positive
strike ,Neutral
fuck ,Negative
congress allow rao body eat dog fair fair ,Positive
take credit predecessor normal indian politics one within term indian implementation ability see result thereof take year one reason don relatively long term development waste time money security current government india ,Positive
let take credit metro congress late take credit ,Neutral
 expect start complete project delay central government express serious doubt economic viability project government chief minister approve metro rail project cabinet meet hold january send central government ratification government centre would approve structure similar use delhi metro turn union government support use partnership build operate transfer model state government want public sector not accept central government victory unite democratic front legislative assembly change scenario state decide metro would follow metro delhi metro would joint venture basis investment central state government cabinet decision take form special purpose vehicle call metro rail per order plan commission union government implementation operation maintenance metro project public investment board clear project march subject final approval union cabinet union government share cost would crore million march board meet decision take entrust metro rail project work delhi metro rail corporation number metro line set july union government final clearance project director tom say sit value partner chalk way forward advice guidance former chief aim complete project within span year surely could complete way one go question previous government delay public welfare delay year normal india use ,Positive
finally something somalia ,Neutral
 really answer question ask much complete team work work project get laurel one finish one finish part project ,Positive
best ,Positive
metro build phase congress take credit even old fly bring traffic standstill inaugurate line begin end lane,Positive
thank party ,Neutral
 somalia ,Neutral
 article unfriendly follow text article make metro reality project metro prime minister make metro claim make party ahead prime minister visit city inaugurate metro june congress lie day today claim reality reality make one twitter june archive lay foundation stone september build metro dozen city twitter june project approve second term unite progressive alliance government lead former prime minister may may section line metro project receive union cabinet nod july accord release press information bureau foundation stone metro lay september metro estimate cost crore build metro rail special purpose vehicle central state equally own metro rail project fund sanction fund release sanction fund amount release current year metro crore crore crore crore source crore metro project commission record month metro mint report june hour become reality twitter june likely likely national landmark company already hire across metro different metro rail line operate seven combine length metro combine length construction city plan additional city india great metro rail opportunity help bring traffic accidental death fuel consumption report january fact initiative veracity context make public life bot cannot reply send subject anti anti block bot please provide link submission would not able help without link ,Positive
even claim india independence alive sore however crazy ready buy whatever spew willingly propagate ,Positive
 isi,Neutral
saturday afternoon fuck favorite ,Positive
wrong embarrass like recent border image sad ,Negative
metro well execute leadership state central well project say political credit go former pet project project complete regime current say support project metro well execute project irrespective political need happy get world class metro rail take credit blame typical ,Positive
responsible big bang well,Positive
 hope development go regardless take credit ,Neutral
god please watch help get edit quote hope since multiple stop bleed repair bone sedate bring sedation periodically able recognize communicate family say ,Positive
see yesterday scum day first half fire leave important part people fire fill hate even honest damn tweet ,Positive
impressive length ,Positive
jack crash trump murder play leave mind rude wake everywhere ,Negative
wait congress come power take credit statue ,Neutral
read article yahoo like everyone slowly get red instead bullshit article ,Positive
credit get make metro reality message across lot good communicator ,Positive
want make cochin metro partner plan head stop give finance not communist execute project chandi become approval ,Neutral
 suppose make reality instead say project ,Neutral
babu,Neutral
many folk sub seem common understand difference lay foundation stone actually get do ,Positive
 best weekly don don best weekly best weekly comprehensive ,Positive
seriously thank much love ,Positive
 reminder democrat lindy want republican counterpart assassinate suppose next shoot ride get read also top comment ,Positive
 length ,Neutral
well look like ,Neutral
 need carrot men don carrot fee ,Positive
oregonian hop self deport woman maybe build wall ,Neutral
impressive length,Positive
ban dude sub thing ,Positive
 don like put water turn gay ,Positive
bill clinton ,Neutral
 love real news ,Positive
live protest isi,Positive
currently sit philadelphia airport part flight washington house god will help push trump agenda congress excite wait help even unpaid internship ,Positive
 bite topic finally introduce hear use clip don know video information high pressure water hose clip everything great needle say buy shit soon could ,Positive
 beautiful ,Positive
miss always miss amount work post ,Negative
 love also fuck,Positive
version weekly win lose,Positive
love detail ,Positive
 mon pretty sure poll president trump trump yesterday hour remain let break please ,Positive
 best don ,Positive
constitution not suicide pact article convention pope leo pope bella joe right ,Positive
please sort new,Positive
preacher twitter feel like send picture eat,Neutral
 indian beef curry preacher get hang friend ,Neutral
look somebody beef meat kid aside though vegan find horribly weird painfully agonize people like meat let eat life always high moral priority animal find eat animal morally wrong like thing argue less moral obligation mankind specie another specie survival unless talk homo religio,Negative
 disagree would say people eat cat dog,Neutral
word deed match never shameless hypocrite,Neutral
bouquet not way round similar post sub relevant comment yet top sub poster make view know top comment real nice ,Positive
actually bouquet late reader petal page late display bite ink display keep true word anti ,Positive
baba ,Neutral
classic good sound actual action ,Positive
 like candidate ,Positive
ba banana ,Neutral
twitter two different person ,Neutral
fine important question come karma like need bouquet karma ,Positive
 doesn house get idea read book ,Neutral
give book press would field day caste angle ,Neutral
 tweet not ,Neutral
another one yesterday best friend not listen give flower ,Positive
 prime minister present bouquet president new delhi tuesday photograph,Positive
ask sub people equate criminal fuck people don actually give two find next president nominee instead post vitriol fill hatred spread bunch social medium sensible discussion anything whatsoever without old bunch run amok agenda congress cow buzzword social medium actual high quality discussion worthy non non comment get away blatant lie propaganda absolutely garbage source like national herald reporter actually look totally serious toxic echo chamber people don anymore honestly disappoint even surprise slightly bunch agenda drive allow run sub quality grind edit thank point honestly not answer people think work ,Negative
whatever india think cow belt happy thank low social chaos huge inferiority complex ,Positive
read voice hum mein ,Neutral
point ask question today overwhelmingly leave wing emotionally charge echo chamber hate majority active single mind hatred rule party viciously browbeat voice speak hold poll hear true voice india anonymous quiet ,Negative
not make poll one support go hunt ,Positive
believe not go win next election let explain really smart hide rise extreme right wing group fall alliance ally finish already form alliance soon bihar go hand propaganda gandhi bad thing congress deal cow ,Positive
whenever question come answer always always vote local even national vote best local representative confident good constituency nation take care ,Positive
 vote delhi almost field candidate win battle least party waste vote logic make sense don suddenly obscurity form government overnight something like single digit seat come close form ,Positive
see many right idea intention come central implementation always difficult least crawl right direction state try kill industry slowly want show rural people much care conduct massive caste census use modify demography without census result give away land city land nominal fine not moral compass right place look spoil urban leave nobody want come back one best department country first corrupt wrong people alternative set without proper explanation another puppet appoint commissioner transfer minister son stake many big city son medical equipment state without doctor power supply nobody want talk conflict interest fact may get feel every city certain population tax collection non elect entity collectively plan administration beyond repair already release new blue city without could not implement previous one nobody care question ,Positive
not forum get anywhere near sense people know vote next election wait till next election ,Positive
 none since could vote every always none since become option think continue good look case foreseeable future think pretentious anarchy fine barely talk first time mention feel like genuine right thing personal opinion subjective truth get less two debate get partake think not go change anything waste vote argue vote never change anything vote make difference let mark twain never life see genuine change drive technology might argue dissatisfy whole change don think good don man join politics make difference oppose well fair point never say dissatisfy not pessimistic don care try best person good thing make feel good try not jerk hope thing work don think seriously not go pseudo nihilistic propagate read fuck deeply believe none matter need take everything around le seriously good least jerk make feel good ,Positive
pun minister,Neutral
guy farce ,Negative
maine bola serious,Negative
exception ,Neutral
two day back say appeal people give book instead bouquet greet move make big difference look like doesnt make difference ,Neutral
good lord people maybe know favorite genre ,Positive
unless people another ,Neutral
 long pro farmer alternative keep vote congress million farmer deceive rhetoric last time think next general election go walk park please visit near village attend farmer ,Negative
even know name boy boy thing change likely vote nota baba know much yet piss state need rude awaken bullshit venom spread ,Positive
frequency question answer ,Neutral
yes ,Neutral
west bengal absolutely many much fancy opinion not mass opinion echo chamber much like medium news read give people get clue fight lose election election result could shock reason lose grind advance falter lose grind phase four day run show lose gujarat seat agricultural body poll anger meet party lose plot gujarat search several report say major minor medium soften anti hopefully people nation many ,Positive
independent nota not option ,Neutral
yes find sane alternative till,Neutral
think hold nose vote run campaign oppose usual mud sling ,Negative
nope not next year fuck shah fuck fuck fuck stupid run fringe kill economy business farm loan make everyone slave consolidate power simply become power greedy want win perpetually brute force majority poor rural urban population end poverty different way make rich everyone poor one poor fuck illiterate retard ,Negative
people vote nota deserve dictatorship fake sham say fuck every election dictator happily remain power nota must create exact reason heady idealist go disenchant not demand not punish crime small way possible india vibrant democracy diverse society not put satisfy threshold idealism ,Positive
 election would surely vote simply choice may right wing ideology good get thing do congress leave also revive india lag foreign policy state level big bunch chief minister single bring state standstill nothing go major infra project least interest take drink beer meet centre would vote ,Positive
yes vote fuck ,Negative
good maharashtra seem like sensible type guy vote electricity even trash truck come daily basis water also available road colony build cement time ,Positive
 agree lot new impose gandhi come power destroy country hell ,Negative
 vote candidate don think chance get elect ,Neutral
not much big change think good option need stable rather circus congress make big change top leadership might think demonetization privacy cow intolerance relate may increase think privacy intolerance not big issue eye common man people forget demonetization still bright chance win election stop make ,Positive
fuck regularly city friend live life place feel threaten unsafe rip area harmony apart start communal tension ,Negative
 long vote,Negative
get lot cell follower say yes reality circle almost one time take wish ,Neutral
center yes state nota ,Negative
yes indeed find good rest ,Positive
yes centre state ,Neutral
doesn matter vote general trend right people feed don ,Positive
never,Neutral
 vote conscience good govern clean last government probably number people hurt affect high give pas ,Positive
undecided time vote centralist look make decision ,Neutral
 vote nota like last time also rig hence mandate wont make difference one switch party party work lack thereof remain also pass new law hold time suck ,Negative
doesn give book doesn give fuck ,Negative
 gandhi foray go vacation congress win land slide vote congress sure ,Positive
 ,Neutral
 think mean,Negative
 first week august ,Positive
 likelihood attend manhattan portion much high brooklyn portion ,Positive
 people attend thing know ahead time ,Positive
night thursday night start place usually lady provide reasonable evidence send snack bring ,Negative
book ,Neutral
 come lurker corner ,Neutral
people really dig last time bring film head unlike digital camera polaroid film around dollar photo get anxious drink people run around willy nilly run quick people contribute pick dope take even time ,Positive
 spicy meme shirt ,Neutral
house little bean saturday night split ,Negative
 might come absolutely one meet ,Positive
 jelly ,Neutral
book flight leave state area early saturday morning ,Positive
find sub last week schedule open sing mean don stop,Negative
year grade school reunion ,Neutral
man birthday totally walk alligator lounge scope probably leave without actually talk ,Neutral
pioneer place friday usually not crowd bar game ,Positive
 probably late friday sing love song make ,Positive
 loud though shit mailbox something least park epic quest across manhattan section completely accessible single green line involve bone crack cold ,Negative
might aim saturday work schedule finger cross ,Neutral
ill,Negative
 hear,Neutral
 july bite craze soon would need ,Neutral
ban work hard build economy ,Negative
patriotic help remonetize ,Neutral
print lucky number note lucky number thank somalia,Positive
 go ,Neutral
 test security feature new note catch mean new note secure success hence prove ,Positive
 wonder doorknob issue ,Neutral
 vital make india,Positive
state hate ,Negative
wow pathetic joke sub become ,Negative
whats wrong people complain remove liquidity market complain enough new green pink note keep run party difference take initiative fix problem print note rather bureaucracy still complain ,Positive
nehru asana ,Neutral
man even match european tall slim figure nehru uncle gut ,Neutral
sad sub come low make fun not par health many sub please stop non sense people reason bad thing think sub something different edit yeah ,Negative
touch toe even see toe stand ,Neutral
actually nehru not yoga use wicked freestyle dancer could name ,Neutral
ask show size ego ,Neutral
nehru show phony ,Neutral
doesn headstand expensive hair transplant may get ruin nehru doesn worry,Negative
yoga ,Neutral
nehru man make incredible sacrifice sake ideology future nation extremely volatile period one pathological liar do nothing lie entire damn life ,Positive
tell bury missionary cross,Negative
imagine horror wear nehru wear picture certify inch cup ,Neutral
show happen jesus cross break middle sideways ,Neutral
much nehru love day look like warm next election make investment ,Positive
vote nehru tho,Neutral
show expectation reality,Neutral
tangential relevant grandfather guru yoga teach yoga gandhi nehru several hundred letter grandfather guru ask advice feedback amongst precious ,Positive
nehru age picture ,Neutral
everybody fat ,Neutral
 sad see nehru become fashion today ,Negative
india village dedicate president trump india base ,Neutral
 tell guy hat trump would lose get shit together ,Negative
love ,Positive
hug ,Neutral
 question medium certainly make joint prestigious without embarrass america end ,Positive
listen yell question ,Neutral
 government corruption always grave threat democracy lock ,Neutral
see arrival like old friend lot,Positive
 trump india medium treat horrible matter still two lot common soon ban large note money supply combat black market terrorism say something trump would ,Negative
holy fuck face say north korean regime ,Negative
wait white house press brief gaggle start,Neutral
trump india ,Neutral
 excellency president trump much win president hate india keep lose liberal ,Neutral
well know anything white liberal great speak everyone else world ,Positive
 hope hell pakistan closely ,Neutral
seat way back ,Neutral
really cunt background try ask question really event ask ,Positive
 wonder base indian reporter press ,Neutral
 fire ritual,Neutral
 dig ,Neutral
president trump deal people time know game know host exactly america tough decisive strong logical regardless trendy addle brain incredibly well trash previously place ,Positive
friendship end best friend ,Positive
 india make software pakistan make terrorism,Neutral
 follow indian elect trump elect long investigation opposition long find anything hindu retaliation muslim burn train full hindu trump not even investigation medium indian medium declare criminal medium do nearly trump indian medium liberal art age useless degree drama support general communist big league indian liberal medium lose credibility liberal also people get feed slowly thing note indian put year red blue state liberal medium lose credibility economic take place support increase slogan make india trump america first go base excellent businessmen try profit country negotiation treaty deal big muslim infest state equivalent california turn towards right year first time last year even right wing candidate due job economy almost like trump win california landslide come economics job safety people general care much family safety third world middle eastern illegal trump allow forward turn solid blue state red especially turn around inner city promise ,Positive
 india great see president trump host india not really touch indian politics fairly anti establishment ,Positive
dat hug doe,Neutral
 don worry embarrass world wide level leave right ,Positive
fox news indian speak cut studio studio really soft side trump get shit without tucker day ,Neutral
finally get moment camera ,Neutral
america india forever ally muslim terror jihad ,Neutral
seem though indian leader man drive common sense logic ,Negative
 fox cut meet show call fox cucking ,Neutral
easily yes disappoint others far bad ,Negative
 press question soup nazi voice,Neutral
everyone think twitter poll unbiased estimate electorate ,Positive
yogi ,Neutral
wait din still go vote,Neutral
 india unfortunately ,Neutral
problem really become people vote else good opposition likely don vote increase yes percentage even ,Positive
echo chamber win ,Positive
 think get lot default gandhi family ruin congress dont see wont get another term easily ,Positive
 stop double vote twice poll seem fishy,Neutral
 new india win,Positive
yes one else vote,Neutral
yes come state important well congress,Positive
 ,Neutral
let daily poll daily poll become circle jerky,Positive
 proud man today really turn shit around ability withstand every direction nothing short herculean ,Positive
 don think option back idea good thing not anymore ,Positive
even vote mean nothing vote not condone stupid violence happen vote much like ,Negative
never gandhi ,Neutral
brave son thor ,Positive
excellency president trump prime minister convergence value,Neutral
look posture trump sharp,Negative
liberal international stage mean outside communist trump love ,Positive
town india name trump guess like trump ,Neutral
nothing ever embarrass represent america ,Neutral
base indian ,Neutral
knock dead president,Negative
let see get anthem do ,Neutral
man back islam try ruin india ,Neutral
ban beef vote ,Neutral
 best,Positive
alpha ,Neutral
world go hate ,Negative
think look best country understand another person even not country negotiation possible person know ultimately recognize coexistence option desire men look country best interest start men hide self interest beneath patriotic facade start one ready sacrifice life others ,Positive
best thing ever see let introduce ,Positive
hell election year away everything change span time ,Neutral
 gay unfit president peach ,Positive
trump great man establishment democrat side need take note good man look like forget long long time ago ,Positive
impossible look not hear whitney houston sing always love ,Negative
nice ,Positive
trump like much like dont leave ,Positive
look like prom couple get enough ,Positive
thing do,Neutral
 get lot reassure protect thankful opportunity hug would palm back neck firm hug bug thank ,Negative
love ,Positive
 think india chaos due corruption make large size bill worthless within day mean corrupt would trade bill new currency reveal corruption public fuck elate first step take back india corruption ,Negative
okay nationalist indian one obviously push immigration hard time feel amaze thread seem sure increase fold expense give fuck break ,Positive
dat hug tho ,Neutral
sorry fake news source medium ,Negative
 embrace,Neutral
 never would let secret service would need leave pretty severe pry ,Negative
find love like love trump ,Neutral
really don blame though ,Positive
bend rule elect seem like pretty cool guy ,Positive
 liberal say trump make fool global stage not sincerely sane people leave world look like start wonderful relationship continue grow benefit ,Positive
doesn get hug president trump ,Neutral
 dont vote dont not vote would like vote development doesn mess culture religious crap focus improve law order situation basically say would last election ,Negative
amount love respect president india quite amaze ,Positive
symbolism true ,Positive
another hug end ,Neutral
guy country ruin happy ally world finally ,Positive
 savior civilization ,Neutral
 love ,Positive
 remember election trump speech indian get together jersey advertise rally stream speech well receive get together wrong word recall occasion ,Neutral
win ,Positive
hug,Neutral
lucky trump presence ,Positive
dimension say ,Neutral
terrorism extremism radicalism ,Neutral
 not eat beef hour respect ,Neutral
love serve presidential lunch content white blue vodka lemonade slush ,Positive
 king shit ,Negative
god social medium catch watch let play today ,Positive
 try get price little bite ,Positive
wonderful thing ,Positive
 take delicious chicken curry hug day ,Positive
 question fake medium,Negative
thats president doctor trump god emperor respect ,Neutral
 president ,Neutral
wait let make world great ,Positive
wolf cover wait pre script ,Neutral
 excellency president trump ,Neutral
 guy ,Neutral
damn fox news cut speech bullshit ,Positive
base indian clap ,Neutral
indian japanese military work together ,Negative
lord lord brahma please ,Positive
 hug number two ,Neutral
fox cut meet,Neutral
another hug ,Neutral
 hug ,Neutral
shout out ,Neutral
take care lone president god emperor destroy radical terror ,Negative
though ,Neutral
hug adorable,Positive
hug ,Positive
 salute base,Neutral
 damn touchy,Positive
wait see ,Neutral
 ,Neutral
heart ,Neutral
 trump physically indian prime minister prior tense press statement,Negative
seem like get along ,Neutral
india form radical islam islam general sure happy see could lead way fight enter ,Positive
yeah probably would shit ever even god emperor,Negative
take pakistan ,Neutral
 work lot indian people ever generally right lean super fuck nice sad get fuck american bad attitude job ,Negative
think happy base indian press dude right ,Positive
dream ,Neutral
well face move million job india past year hopefully trump imbalance ,Negative
good hope,Positive
serious question india seem love unite state understand want suck big dick block china great relationship china get like every indian ever meet america praise place really well smart hard work ,Positive
 white ,Neutral
next day trump catch ,Neutral
sweet india normally hug ,Positive
trump absorb indian ,Neutral
confirm indian men fact hug hold hand way source live ,Positive
hate india dirty ,Negative
trump aggressive nazi squeeze technique take political advantage indian minority ,Neutral
 grow dude straight admit weepy lay head shoulder know president feel like family ,Positive
trump know shake hand sacrifice ,Neutral
india see ,Neutral
hug daddy ,Neutral
trump good day ,Positive
 love much watch six time row,Positive
 full love ,Positive
 like customary india ,Neutral
 great partnership ,Positive
 ,Neutral
hate gay people ,Negative
base ,Neutral
enough energy power fuck city hug,Negative
 love ally,Positive
 bring bribery corruption near standstill cash money scarce people not spend much afraid make big without liquidity le money market business family bad thing since abolishment system india ,Negative
far leave upper middle class seem hate hear job job ,Positive
 india india trump fact life tariff indian service ,Neutral
 don sound racist never meet indian like ,Positive
 call army verge launch kashmir maharaja nehru want intervene issue enter state stop troop nehru insult never maharaja friendship therefore sign indian late nehru pressurize maharaja appoint prime minister state fine trouble le state period land condition leader kashmir crisis ,Positive
lucky ,Positive
around world brick right ,Positive
 tire win yet ,Positive
want hug much say blame,Positive
yellow dress damn damn damn year,Positive
example cannot argue brown people productive come trump white nazi want people love country wonder leave get away call every name book cause white conservative part alpha male culture fair game eye leave obvious reason ,Positive
break news trump strangle minority,Negative
 hear really good thing seem like trump get along well ,Positive
 hugger video somewhere compilation world business type awkwardness hilarious especially macron one remember correctly ,Positive
 tonight ,Neutral
hug india feel safe india ,Positive
seem like people hate pull paris accord vote trump thing way etc rich western european money ,Negative
 indian love merchant,Positive
 thank defend civilization insane people try tear president trump ,Negative
 get impression average show love respect trump get time know million upon million spend create illusion people dislike ,Positive
 russian fascist nazi ,Neutral
papa bless,Neutral
make india great,Positive
hate well not like hug begin another note ,Negative
curry good,Positive
 really like together ,Positive
notice give fuck sovereignty border deal islam meaningfully literally figuratively embrace trump,Positive
love win give hug ,Positive
adorable,Positive
kill recently president ,Neutral
last hear india pretty much president trump ,Positive
thank take hug,Neutral
lose ,Neutral
trump indian ,Neutral
president love even want hug ,Positive
 regime holy crap ,Negative
wait speak english right use translator bite insult ,Positive
 honestly wait take question ,Positive
 crack tweet liberal trump doesn know difference wait per trump,Neutral
crazy washington post reporter anonymously leak incoming ,Negative
 link version small beep bot anti bot ,Neutral
dick totally big handshake contest ,Neutral
something poignant post ,Neutral
hum quadruple ,Neutral
accord best political ever make trump pro stance think one world get along good least compare european one ,Positive
 hope go well ,Neutral
thread question come way many time ,Positive
well know leave bias ,Neutral
become weekly drama would vote next day long time politics consider far next election think think today vote would time ,Positive
 literally vote don live either ,Positive
